order_id,order_date,promised_date,delivered_date,region,category,carrier,units_ordered,units_shipped,unit_price
ORD-0287,2025-05-09,2025-05-16,2025-05-17,North,Finished Goods,CargoOne,18,18,159.04
ORD-0288,2025-02-12,2025-02-20,2025-02-20,West,Components,CargoOne,115,115,70.44
ORD-0289,2025-05-28,2025-06-03,2025-06-03,West,Finished Goods,BlueLine,6,6,47.50
ORD-0290,2025-05-20,2025-05-23,2025-05-23,North,Consumables,Atlas,120,115,134.23
ORD-0291,2025-04-06,2025-04-14,2025-04-14,North,Finished Goods,CargoOne,61,61,168.26
ORD-0292,2025-04-14,2025-04-22,2025-04-24,East,Finished Goods,CargoOne,62,62,24.02
ORD-0293,2025-04-02,2025-04-10,2025-04-11,East,Components,BlueLine,50,50,12.24
ORD-0294,2025-03-31,2025-04-05,2025-04-04,East,Finished Goods,Atlas,21,21,136.96
ORD-0295,2025-04-15,2025-04-22,2025-04-22,East,Consumables,CargoOne,24,24,42.95
ORD-0296,2025-04-05,2025-04-09,2025-04-09,South,Consumables,BlueLine,30,25,161.26
ORD-0297,2025-06-12,2025-06-15,2025-06-15,South,Components,CargoOne,102,102,35.76
ORD-0298,2025-03-15,2025-03-18,2025-03-18,East,Components,CargoOne,7,7,178.90
ORD-0299,2025-03-23,2025-03-29,2025-03-29,South,Finished Goods,Atlas,21,19,24.12
ORD-0300,2025-02-15,2025-02-23,2025-02-22,South,Components,CargoOne,77,77,106.53
ORD-0301,2025-04-02,2025-04-05,2025-04-06,East,Finished Goods,CargoOne,12,11,174.51
ORD-0302,2025-01-06,2025-01-12,2025-01-16,West,Finished Goods,BlueLine,91,91,177.16
ORD-0303,2025-03-31,2025-04-08,2025-04-10,East,Components,BlueLine,39,38,41.76
ORD-0304,2025-02-26,2025-03-04,2025-03-04,East,Components,Atlas,59,58,67.43
ORD-0305,2025-01-14,2025-01-20,2025-01-20,North,Finished Goods,CargoOne,79,79,171.62
ORD-0306,2025-03-28,2025-03-31,2025-04-02,West,Finished Goods,BlueLine,110,110,64.71
ORD-0307,2025-06-17,2025-06-23,2025-06-23,West,Consumables,CargoOne,111,111,59.72
ORD-0308,2025-01-22,2025-01-26,2025-01-27,North,Consumables,BlueLine,40,39,76.76
ORD-0309,2025-06-15,2025-06-23,2025-06-25,West,Finished Goods,BlueLine,98,96,58.62
ORD-0310,2025-05-18,2025-05-22,2025-05-26,West,Components,BlueLine,84,84,117.78
ORD-0311,2025-02-28,2025-03-07,2025-03-08,North,Components,Atlas,25,25,163.16
ORD-0312,2025-02-24,2025-02-28,2025-02-28,West,Components,CargoOne,50,50,11.53
ORD-0313,2025-03-09,2025-03-15,2025-03-16,West,Consumables,BlueLine,62,62,72.96
ORD-0314,2025-01-04,2025-01-12,2025-01-12,West,Components,Atlas,15,15,11.41
ORD-0315,2025-04-01,2025-04-07,2025-04-07,West,Components,Atlas,95,93,172.45
ORD-0316,2025-01-06,2025-01-12,2025-01-12,West,Finished Goods,BlueLine,97,97,38.59
ORD-0317,2025-02-17,2025-02-23,2025-02-23,West,Consumables,Atlas,112,112,149.84
ORD-0318,2025-06-06,2025-06-13,2025-06-15,West,Consumables,Atlas,57,57,73.23
ORD-0319,2025-05-03,2025-05-09,2025-05-09,North,Components,BlueLine,112,112,20.42
ORD-0320,2025-01-24,2025-01-30,2025-02-01,West,Components,CargoOne,65,65,84.80
ORD-0321,2025-05-12,2025-05-17,2025-05-17,South,Components,Atlas,115,113,80.02
ORD-0322,2025-05-09,2025-05-12,2025-05-12,West,Finished Goods,Atlas,46,46,21.19
ORD-0323,2025-01-12,2025-01-16,2025-01-17,South,Consumables,CargoOne,78,78,24.14
ORD-0324,2025-04-27,2025-05-04,2025-05-05,South,Consumables,Atlas,120,120,101.71
ORD-0325,2025-05-31,2025-06-05,2025-06-05,East,Finished Goods,Atlas,109,109,134.75
ORD-0326,2025-05-22,2025-05-29,2025-05-29,East,Consumables,BlueLine,112,112,158.49
ORD-0327,2025-03-19,2025-03-26,2025-03-26,East,Consumables,Atlas,100,100,43.49
ORD-0328,2025-03-02,2025-03-09,2025-03-09,West,Consumables,Atlas,32,31,174.20
ORD-0329,2025-04-25,2025-05-03,2025-05-04,South,Components,CargoOne,97,87,76.56
ORD-0330,2025-04-08,2025-04-13,2025-04-13,North,Consumables,Atlas,89,79,43.30
ORD-0331,2025-02-07,2025-02-12,2025-02-13,South,Consumables,BlueLine,63,62,169.72
ORD-0332,2025-03-14,2025-03-18,2025-03-18,West,Consumables,BlueLine,22,22,81.12
ORD-0333,2025-02-04,2025-02-10,2025-02-10,West,Finished Goods,BlueLine,63,63,28.77
ORD-0334,2025-06-18,2025-06-21,2025-06-20,East,Finished Goods,Atlas,11,10,41.66
ORD-0335,2025-02-15,2025-02-19,2025-02-20,East,Consumables,Atlas,111,111,21.00
ORD-0336,2025-02-08,2025-02-14,2025-02-14,South,Components,Atlas,69,69,171.34
ORD-0337,2025-03-22,2025-03-28,2025-03-29,North,Consumables,BlueLine,116,116,75.35
ORD-0338,2025-01-17,2025-01-24,2025-01-24,North,Consumables,BlueLine,13,13,76.62
ORD-0339,2025-03-19,2025-03-24,2025-03-24,South,Consumables,CargoOne,17,16,33.63
ORD-0340,2025-03-25,2025-04-01,2025-04-03,West,Components,Atlas,34,34,156.69
ORD-0341,2025-01-16,2025-01-21,2025-01-21,North,Components,BlueLine,78,78,38.41
ORD-0342,2025-02-02,2025-02-09,2025-02-10,North,Consumables,CargoOne,43,43,105.64
ORD-0343,2025-05-15,2025-05-23,2025-05-25,South,Consumables,Atlas,63,61,77.35
ORD-0344,2025-06-01,2025-06-06,2025-06-08,South,Finished Goods,Atlas,95,95,107.49
ORD-0345,2025-05-13,2025-05-20,2025-05-20,South,Components,Atlas,79,79,91.71
ORD-0346,2025-03-22,2025-03-29,2025-03-28,East,Consumables,BlueLine,81,81,142.34
ORD-0347,2025-05-30,2025-06-05,2025-06-06,West,Consumables,CargoOne,109,108,21.78
ORD-0348,2025-06-20,2025-06-24,2025-06-24,North,Consumables,Atlas,54,54,103.63
ORD-0349,2025-03-25,2025-04-01,2025-03-31,South,Consumables,CargoOne,74,74,95.36
ORD-0350,2025-06-11,2025-06-16,2025-06-15,East,Components,Atlas,74,74,123.86
ORD-0351,2025-03-23,2025-03-30,2025-03-31,North,Consumables,CargoOne,34,34,10.93
ORD-0352,2025-06-16,2025-06-23,2025-06-24,West,Components,BlueLine,64,64,112.26
ORD-0353,2025-03-31,2025-04-04,2025-04-05,East,Finished Goods,BlueLine,12,12,49.59
ORD-0354,2025-04-25,2025-05-03,2025-05-03,West,Consumables,BlueLine,118,118,118.09
ORD-0355,2025-03-31,2025-04-03,2025-04-05,East,Consumables,BlueLine,50,50,166.71
ORD-0356,2025-03-25,2025-04-02,2025-04-02,North,Consumables,Atlas,76,76,53.70
ORD-0357,2025-05-13,2025-05-16,2025-05-18,East,Finished Goods,BlueLine,43,42,149.25
ORD-0358,2025-01-19,2025-01-23,2025-01-24,North,Components,CargoOne,39,34,79.80
ORD-0359,2025-06-04,2025-06-09,2025-06-09,West,Components,CargoOne,89,89,118.92
ORD-0360,2025-04-18,2025-04-26,2025-04-28,West,Consumables,CargoOne,57,57,32.05
